OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,GNIS_ID,SOURCE,FAC_TYPE,TOT_STAFF,TOT_RES,BEDS,EXC_BEDS,OWNERSHIP,MEDICAIDID,MEDICAREID,STATELICID,SUPFACTYPE
11,11597740,UNCLASSIFIED,HUNTER HILL SENIOR VILLAGE,252-443-7144,891 NOELL LANE, ,ROCKY MOUNT,NC,27804,1742,NASH,37127, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,116058063,-77.8214607,35.9718009,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,64,0, , , ,HAL-064-016,ADULT CARE HOME
12,11597739,UNCLASSIFIED,BREKENRIDGE RETIREMENT CENTER,252-443-5400,2500 HUNTER HILL ROAD, ,ROCKY MOUNT,NC,27804,6120,NASH,37127, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,116058135,-77.83737,35.9842893,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,64,0, , , ,HAL-064-004,ADULT CARE HOME
13,11597736,UNCLASSIFIED,SOUTHERN PINES MANOR,910-692-0721,605 N BENNETT STREET, ,SOUTHERN PINES,NC,28387,4124,MOORE,37125, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102673155,-79.386088,35.1789664,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,10,0, , , ,HAL-063-012,ADULT CARE HOME
14,11597734,UNCLASSIFIED,MAGNOLIA GARDENS,910-692-6311,594 MURRAY HILL ROAD, ,SOUTHERN PINES,NC,28387,7016,MOORE,37125, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102677187,-79.4256132,35.164205,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,110,0, , , ,HAL-063-007,ADULT CARE HOME
15,11597729,UNCLASSIFIED,SANDY RIDGE ASSISTED LIVING,910-974-4162,326 BOWMAN ROAD, ,CANDOR,NC,27229,9682,MONTGOMERY,37123, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102879769,-79.73474,35.3073533,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,104,0, , , ,HAL-062-009,ADULT CARE HOME
16,11597727,UNCLASSIFIED,WEDDINGTON PARK,704-847-9477,2404 PLANTATION CENTER DRIVE, ,MATTHEWS,NC,28105,5299,MECKLENBURG,37119, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,28242339,-80.7316997,35.0861915,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,83,0, , , ,HAL-060-042,ADULT CARE HOME
17,11597724,UNCLASSIFIED,THE LAURELS IN THE VILLAGE AT CAROLINA PLACE,704-540-8007,13180 DORMAN ROAD, ,PINEVILLE,NC,28134,9327,MECKLENBURG,37119, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125479131,-80.8855416,35.0669095,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,104,0, , , ,HAL-060-039,ADULT CARE HOME
18,11597722,UNCLASSIFIED,THE HAVEN IN THE VILLAGE AT CAROLINA PLACE,704-540-0155,13180 DORMAN ROAD, ,PINEVILLE,NC,28134,9327,MECKLENBURG,37119, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125479131,-80.8855416,35.0669095,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-060-035,ADULT CARE HOME
19,11597685,UNCLASSIFIED,WEXFORD HOUSE,704-489-2633,3900 WEXFORD LANE, ,DENVER,NC,28037,7900,LINCOLN,37109, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102595031,-81.0405699,35.535101,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-055-008,ADULT CARE HOME
20,11597681,UNCLASSIFIED,CARILLON ASSISTED LIVING OF LINCOLNTON,704-732-0029,440 SALEM CHURCH ROAD, ,LINCOLNTON,NC,28092,8856,LINCOLN,37109, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,109846889,-81.2073818,35.4716972,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,96,0, , , ,HAL-055-011,ADULT CARE HOME
21,11597679,UNCLASSIFIED,AMAZING GRACE REST HOME,704-435-2952,3633 AMAZING GRACE ROAD, ,LAWNDALE,NC,28090,8407,LINCOLN,37109, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102616910,-81.4612752,35.4370897,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,20,0, , , ,HAL-055-001,ADULT CARE HOME
22,11597677,UNCLASSIFIED,SPRING ARBOR OF KINSTON,252-523-3099,3207 CAREY ROAD, ,KINSTON,NC,28504,1205,LENOIR,37107, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102636960,-77.6113254,35.2971546,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,86,0, , , ,HAL-054-006,ADULT CARE HOME
23,11597671,UNCLASSIFIED,ASHEWOOD ESTATES RETIREMENT CENTER,919-774-3774,1115 CARTHAGE STREET, ,SANFORD,NC,27330,4162,LEE,37105, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102606276,-79.1881613,35.4704562,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,85,0, , , ,HAL-053-011,ADULT CARE HOME
24,11597667,UNCLASSIFIED,PROGRESSIVE CARE,919-936-1461,160 HAVEN LANE, ,PRINCETON,NC,27569,7132,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102613768,-78.1929147,35.4186875,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-051-017,ADULT CARE HOME
25,11597665,UNCLASSIFIED,MCLAMB'S REST HOME 2,919-207-0282,998 FIVE POINTS ROAD, ,BENSON,NC,27504,7036,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,127918215,-78.4699483,35.3490084,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-051-008,ADULT CARE HOME
26,11597664,UNCLASSIFIED,MCLAMB'S REST HOME,919-207-0282,998 FIVE POINTS ROAD, ,BENSON,NC,27504,7036,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,127918215,-78.4699483,35.3490084,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-051-007,ADULT CARE HOME
27,11597663,UNCLASSIFIED,FOUR OAKS ASSISTED LIVING,919-963-2011,565 BOYETTE RD, ,FOUR OAKS,NC,27524,9386,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,118895540,-78.4204677,35.4440669,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,120,0, , , ,HAL-051-036,ADULT CARE HOME
28,11597661,UNCLASSIFIED,CLASSIC CARE HOMES 105,919-934-8976,101 ANNIE PARKER CIRCLE, ,SMITHFIELD,NC,27577,3968,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102590560,-78.3631621,35.520625,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-051-020,ADULT CARE HOME
29,11597659,UNCLASSIFIED,CLASSIC CARE HOMES,919-934-8976,101 ANNIE PARKER CIRCLE, ,SMITHFIELD,NC,27577,3968,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102590560,-78.3631621,35.520625,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-051-018,ADULT CARE HOME
30,11597658,UNCLASSIFIED,CAROLINA HOUSE OF SMITHFIELD,919-989-3100,830 BERKSHIRE ROAD, ,SMITHFIELD,NC,27577,4729,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102891095,-78.3285797,35.5169306,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,74,0, , , ,HAL-051-024,ADULT CARE HOME
31,11597650,UNCLASSIFIED,AUTUMN HOME CARE OF JOHNSTON COUNTY INC III,919-965-3333,474 JERRY ROAD, ,SELMA,NC,27576,9248,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,127917978,-78.2581228,35.5695785,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-051-001,ADULT CARE HOME
32,11597649,UNCLASSIFIED,AUTUMN HOME CARE OF JOHNSTON COUNTY INC II,919-965-3455,474 JERRY ROAD, ,SELMA,NC,27576,9248,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,127917978,-78.2581228,35.5695785,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-051-003,ADULT CARE HOME
33,11597648,UNCLASSIFIED,AUTUMN HOME CARE OF JOHNSTON COUNTY INC I,919-965-3435,474 JERRY ROAD, ,SELMA,NC,27576,9248,JOHNSTON,37101, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,127917978,-78.2581228,35.5695785,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-051-002,ADULT CARE HOME
34,11597646,UNCLASSIFIED,THE GARDENS OF STATESVILLE,704-878-0123,2147 DAVIE AVENUE, ,STATESVILLE,NC,28625,9200,IREDELL,37097, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125457995,-80.8517721,35.8072163,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,67,0, , , ,HAL-049-023,ADULT CARE HOME
35,11597644,UNCLASSIFIED,THE CHURCHILL SENIOR LIVING COMMUNITY,704-658-1200,140 CARRIAGE CLUB DR, ,MOORESVILLE,NC,28117,9002,IREDELL,37097, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,743330904,-80.8670274,35.5996342,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,120,0, , , ,HAL-049-025,ADULT CARE HOME
36,11597643,UNCLASSIFIED,SUMMIT PLACE OF MOORESVILLE,704-799-2712,128 BRAWLEY SCHOOL ROAD, ,MOORESVILLE,NC,28117,9102,IREDELL,37097, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,753965817,-80.8424699,35.5791112,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-049-024,ADULT CARE HOME
37,11597642,UNCLASSIFIED,STATESVILLE PLACE ON PEACHTREE,704-872-1946,2806 PEACHTREE ROAD, ,STATESVILLE,NC,28625,8204,IREDELL,37097, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102519200,-80.832205,35.8108618,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,87,0, , , ,HAL-049-020,ADULT CARE HOME
38,11597641,UNCLASSIFIED,STATESVILLE MANOR ON EAST BROAD,704-872-1940,2441 EAST BROAD STREET, ,STATESVILLE,NC,28625,4407,IREDELL,37097, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,737296502,-80.8407441,35.7963162,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,58,0, , , ,HAL-049-019,ADULT CARE HOME
39,11597639,UNCLASSIFIED,KYRIE HEALTH PROPERTIES I LLC,704-878-6376,1902 ORA DR, ,STATESVILLE,NC,28625,6343,IREDELL,37097, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,754769261,-80.8526977,35.781008,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,80,0, , , ,HAL-049-026,ADULT CARE HOME
40,11597634,UNCLASSIFIED,OPEN ARMS RETIREMENT CENTER,910-875-3949,612 HEALTH DRIVE, ,RAEFORD,NC,28376,2540,HOKE,37093, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102803508,-79.2385977,34.9833558,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,90,0, , , ,HAL-047-003,ADULT CARE HOME
41,11597623,UNCLASSIFIED,COUNTRY MEADOW REST HOME,828-693-6170,129 HAZELTON DRIVE, ,HENDERSONVILLE,NC,28739,5523,HENDERSON,37089, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,118946516,-82.4740843,35.3045359,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,15,0, , , ,HAL-045-012,ADULT CARE HOME
42,11597621,UNCLASSIFIED,CAROLINA VILLAGE INC,828-692-6275,600 CAROLINA VILLAGE ROAD, ,HENDERSONVILLE,NC,28792,2892,HENDERSON,37089, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,767436777,-82.4463769,35.3441406,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,28,0, , , ,HAL-045-067,ADULT CARE HOME
43,11597620,UNCLASSIFIED,CARILLON ASSISTED LIVING OF HENDERSONVILLE,828-693-0700,3851 HOWARD GAP ROAD, ,HENDERSONVILLE,NC,28792,3102,HENDERSON,37089, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102881722,-82.4258801,35.3434576,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,96,0, , , ,HAL-045-093,ADULT CARE HOME
44,11597619,UNCLASSIFIED,CARDINAL CARE CENTER-HENDERSONVILLE,828-693-3388,1000 WEST ALLEN STREET, ,HENDERSONVILLE,NC,28739,4800,HENDERSON,37089, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102644320,-82.4725221,35.310185,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-045-001,ADULT CARE HOME
45,11597618,UNCLASSIFIED,BLUE RIDGE RETIREMENT,828-693-0871,1003 9TH AVENUE WEST, ,HENDERSONVILLE,NC,28791,3317,HENDERSON,37089, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102640698,-82.4724404,35.3229328,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,43,0, , , ,HAL-045-008,ADULT CARE HOME
46,11597617,UNCLASSIFIED,RICHLAND COMMUNITY CARE 2,828-452-0456,84 CHESTNUT PARK DRIVE, ,WAYNESVILLE,NC,28786,4180,HAYWOOD,37087, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125310929,-82.9925163,35.4951704,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,11,0, , , ,HAL-044-027,ADULT CARE HOME
47,11597616,UNCLASSIFIED,QUEEN RETIREMENT HOME,828-456-9240,465 BOYD AVENUE, ,WAYNESVILLE,NC,28786,4317,HAYWOOD,37087, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,109895961,-82.9989411,35.4886925,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,20,0, , , ,HAL-044-030,ADULT CARE HOME
48,11597615,UNCLASSIFIED,PIGEON VALLEY REST HOME,828-648-2044,100 SILVER BLUFF DRIVE, ,CANTON,NC,28716,6350,HAYWOOD,37087, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102603435,-82.8783061,35.4821731,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,29,0, , , ,HAL-044-012,ADULT CARE HOME
49,11597609,UNCLASSIFIED,CHESTNUT PARK RETIREMENT CENTER,828-456-5858,84 CHESTNUT PARK DRIVE, ,WAYNESVILLE,NC,28786,4180,HAYWOOD,37087, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125310929,-82.9925163,35.4951704,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,20,0, , , ,HAL-044-022,ADULT CARE HOME
50,11597607,UNCLASSIFIED,ANN DAVIS REST HOME,828-648-3790,460 BEAVERDAM STREET, ,CANTON,NC,28716,3350,HAYWOOD,37087, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102811414,-82.8403615,35.5437275,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,10,0, , , ,HAL-044-008,ADULT CARE HOME
51,11597606,UNCLASSIFIED,UNPRECEDENTED CARE,910-892-4578,157 STEWART ROAD, ,DUNN,NC,28334,6289,HARNETT,37085, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,118943015,-78.5803175,35.3429049,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-043-009,ADULT CARE HOME
