"","Facility_Type","Facility_Number","Facility_Name","Licensee","Facility_Administrator","Facility_Address","Facility_City","Facility_State","Facility_Zip","County_Name","Regional_Office","Facility_Capacity","Facility_Status","License_First_Date","lon.x","lat.x"
"11","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374603617,"BROOKDALE CARMEL VALLEY","S-H OPCO CARMEL VALLEY; BKD TWENTY-ONE MANAGMENT","MCDONALD, JASON","13101 HARTFIELD AVE, SAN DIEGO","SAN DIEGO","CA",92130,"SAN DIEGO",8,125,"LICENSED","8/29/2014",-117.2291672,32.956922
"12","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",197608720,"BROOKDALE NORTHRIDGE","EMERITUS CORPORATION","PACHOREK, CYNDIE","17650 W DEVONSHIRE ST, LOS ANGELES","NORTHRIDGE","CA",91325,"LOS ANGELES",31,135,"LICENSED","7/31/2014",-118.5191617,34.2566128
"13","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",336426512,"BROOKDALE RANCHO MIRAGE","S-H OPCO RANCHO MIRAGE; BKD TWENTY-ONE MANAGEMENT","BARTON, ROBERT","72201 COUNTRY CLUB DR, RIVERSIDE","RANCHO MIRAGE","CA",92270,"RIVERSIDE",18,135,"LICENSED","8/29/2014",-116.4047266,33.7566127
"14","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",157203395,"BROOKDALE RIVERWALK","BLC GLENWOOD-GARDENS AL-LH; BROOKDALE LIVING COMMS","WEBSTER, REG","350 CALLOWAY DR, KERN","BAKERSFIELD","CA",93312,"KERN",24,376,"LICENSED","6/26/2006",-119.1132117,35.3606365
"15","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",306004721,"BROOKDALE SAN JUAN CAPISTRANO","S-H OPCO SAN JUAN CAPISTRANO; BKD TWENTY-ONE MGT","ROBERT DAYNES","31741 RANCHO VIEJO RD, ORANGE","SAN JUAN CAPISTRANO","CA",92675,"ORANGE",22,125,"LICENSED","8/29/2014",-117.6545769,33.5007893
"16","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",100400070,"CALIFORNIA ARMENIAN HOME","CALIFORNIA HOME FOR THE AGED INC","PAUL ROCHA","6720 E KINGS CANYON RD, FRESNO","FRESNO","CA",93727,"FRESNO",24,332,"LICENSED","3/20/1985",-119.6698377,36.7401846
"17","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",270708224,"CANTERBURY WOODS","COVIA COMMUNITIES","ELVYRA ABARE","651 SINEX AVENUE, MONTEREY","PACIFIC GROVE","CA",93950,"MONTEREY",26,190,"LICENSED","9/15/1989",-121.9213552,36.6148237
"18","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191603774,"CANTERBURY, THE","EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS","SHARON PEWTRESS","5801 WEST CRESTRIDGE ROAD, LOS ANGELES","RANCHO PALOS VERDES","CA",90274,"LOS ANGELES",11,187,"LICENSED","3/31/1993",-118.377333,33.769181
"19","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",306004555,"CAPRIANA","CAPRIANA OPERATIONS; OAKMONT SR LVG; OAKMONT MGT G","REYNOLDS, TALYAH","460 LA FLORESTA DR, ORANGE","BREA","CA",92821,"ORANGE",22,200,"LICENSED","5/14/2013",-117.8482656,33.9073683
"20","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",15601222,"CARDINAL POINT AT MARINER SQUARE","CARDINAL PT MARINER, OAKMONT SR LVG; OAKMONT MGT G","GERALD VADNAIS","2431 MARINER SQUARE DR, ALAMEDA","ALAMEDA","CA",94501,"ALAMEDA",15,153,"LICENSED","2/28/2006",-122.2773515,37.7905704
"21","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374600799,"CARLSBAD BY THE SEA","FRONT PORCH COMMUNITIES AND SERVICES","JOAN E. JOHNSON","2855 CARLSBAD BLVD., SAN DIEGO","CARLSBAD","CA",92008,"SAN DIEGO",8,224,"LICENSED","8/4/1999",-117.3527418,33.1591709
"22","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",270700110,"CARMEL VALLEY MANOR","NORTHERN CALIFORNIA CONGREGATIONAL RETIREMENT HOME","JANE S. IPSEN","8545 CARMEL VALLEY ROAD, MONTEREY","CARMEL","CA",93923,"MONTEREY",26,258,"LICENSED","11/12/1993",-121.8263908,36.5310462
"23","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",405800142,"CASA DE FLORES","COMPASS HEALTH, INC., DBA","DEAN GOSSELIN","1405 TERESA DRIVE, SAN LUIS OBISPO","MORRO BAY","CA",93442,"SAN LUIS OBISPO",29,120,"LICENSED","2/24/1997",-120.8250385,35.3655687
"24","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374600488,"CASA DE LAS CAMPANAS","CASA DE LAS CAMPANAS/LIFE CARE SERVICE, LLC","KIMBERLY FINCH-DOMINY","18655 WEST BERNARDO DRIVE, SAN DIEGO","SAN DIEGO","CA",92127,"SAN DIEGO",8,582,"LICENSED","1/1/1997",-117.074534,33.0511222
"25","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",421700160,"CASA DORINDA","MONTECITO RETIREMENT ASSOCIATION","BRIAN MCCAGUE","300 HOT SPRINGS RD., SANTA BARBARA","SANTA BARBARA","CA",93108,"SANTA BARBARA",29,325,"LICENSED","10/31/1993",-119.641225,34.4296466
"26","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",430700136,"CHANNING HOUSE","CHANNING HOUSE","MATSUMOTO, MELVIN","850 WEBSTER STREET, SANTA CLARA","PALO ALTO","CA",94301,"SANTA CLARA",26,264,"LICENSED","3/20/1993",-122.1541592,37.446346
"27","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",421702848,"COVENANT LIVING AT THE SAMARKAND","COVENANT LIVING WEST","LAURIE SMALL","2550 TREASURE DRIVE, SANTA BARBARA","SANTA BARBARA","CA",93105,"SANTA BARBARA",29,379,"LICENSED","4/6/1993",-119.7290386,34.4297926
"28","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",500301453,"COVENANT LIVING OF TURLOCK","COVENANT LIVING WEST","CHARLES W. JOHNSON","2125 N OLIVE, STANISLAUS","TURLOCK","CA",95382,"STANISLAUS",27,377,"LICENSED","6/19/1989",-120.841453,37.513978
"29","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",370800394,"COVENANT VILLAGE AT MOUNT MIGUEL","COVENANT LIVING WEST","RICHARD MILLER","325 KEMPTON STREET, SAN DIEGO","SPRING VALLEY","CA",91977,"SAN DIEGO",8,434,"LICENSED","4/9/1993",-117.0003661,32.7030838
"30","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",306002255,"COVINGTON, THE","EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS","EILEEN LEA DAVIS","3 PURSUIT, ORANGE","ALISO VIEJO","CA",92656,"ORANGE",22,343,"LICENSED","5/20/2004",-117.727273,33.5530039
"31","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",496803820,"ENSO VILLAGE","KENDAL AT SONOMA, A ZEN INSPIRED COMMUNITY","HELMAN, DOUGLAS","16977 HEALDSBURG AVE, SONOMA","HEALDSBURG","CA",95448,"SONOMA",21,54,"PENDING",NA,-122.8706512,38.6442849
"32","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",340313383,"ESKATON VILLAGE","ESKATON; ESKATON PROPERTIES INC","KLICK, GREG","3939 WALNUT AVE, SACRAMENTO","CARMICHAEL","CA",95608,"SACRAMENTO",27,500,"LICENSED","3/23/1992",-121.3462169,38.635738
"33","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",270700245,"FOREST HILL","CALIFORNIA-NEVADA METHODIST HOMES","ROSETTA W. CHAN","551 GIBSON AVENUE, MONTEREY","PACIFIC GROVE","CA",93950,"MONTEREY",26,150,"LICENSED","1/29/1974",-121.9196427,36.6153415
"34","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",435200344,"FORUM AT RANCHO SAN ANTONIO, THE","RSARHC, RSARS INC. & LIFE CARE SERVICES LLC","NANCY KAO","23500 CRISTO REY DRIVE, SANTA CLARA","CUPERTINO","CA",95014,"SANTA CLARA",26,741,"LICENSED","9/24/1996",-122.0867164,37.3372559
"35","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",496803440,"FOUNTAINGROVE LODGE","FOUNTAINGROVE LODGE, OSL LLC; OAKMONT MGT GROUP","FISHER, LINDA","4210 THOMAS LAKE HARRIS DR, SONOMA","SANTA ROSA","CA",95403,"SONOMA",21,173,"LICENSED","11/22/2013",-122.7222844,38.4870164
"36","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",197607880,"FOUNTAINVIEW AT EISENBERG VILLAGE","FOUNTAINVIEW AT EISENBERG VLG,LLC.& EVLAJHA,INC.","HERNANDEZ,AMBER","6440 WILBUR AVENUE, LOS ANGELES","RESEDA","CA",91335,"LOS ANGELES",31,216,"LICENSED","2/23/2010",-118.5442314,34.1879693
"37","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",300606831,"FREEDOM VILLAGE","MURPHY,N.,SHEAM,G.,KUBICKA,C.,KUBICKA,L.,FPW,LLC","MARIANNE CASINO/ J.NIBLETT","23442 EL TORO ROAD, ORANGE","LAKE FOREST","CA",92630,"ORANGE",22,533,"LICENSED","7/23/1987",-117.6971518,33.6216369
"38","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",496801929,"FRIENDS HOUSE","FRIENDS ASSOC OF SVCS FOR THE ELDERLY; COVIA GROUP","ALLEN, CLARA","684 BENICIA DRIVE, SONOMA","SANTA ROSA","CA",95409,"SONOMA",21,120,"LICENSED","12/27/2006",-122.6731262,38.4719255
"39","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374603600,"GLEN AT SCRIPPS RANCH, THE","GLEN AT SCRIPPS RANCH CCRC LLC; LIFE CARE SERVICES","KLINE, MEEGAN","9800 GLEN CENTER DRIVE, SAN DIEGO","SAN DIEGO","CA",92131,"SAN DIEGO",8,403,"LICENSED","12/23/2019",-117.0889826,32.9015003
"40","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",11400246,"GRAND LAKE GARDENS","HUMANGOOD & HUMANGOOD NORCAL","BRANDMEIER, PHILIP","401 SANTA CLARA AVENUE, ALAMEDA","OAKLAND","CA",94610,"ALAMEDA",15,135,"LICENSED","1/25/1985",-122.2858022,37.7736883
"41","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",380500295,"HERITAGE ON THE MARINA","SAN FRANCISCO LADIES' PROTECTION & RELIEF SOCIETY","KEN D. DONNELLY","3400 LAGUNA ST., SAN FRANCISCO","SAN FRANCISCO","CA",94123,"SAN FRANCISCO",14,104,"LICENSED","6/25/1975",-122.4310199,37.8030319
"42","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191800001,"HOLLENBECK PALMS","HOLLENBECK PALMS","HEIDEMAN, WILLIAM G.","573 S. BOYLE AVE, LOS ANGELES","LOS ANGELES","CA",90033,"LOS ANGELES",28,171,"LICENSED","4/16/1993",-118.2206261,34.0395693
"43","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",405802282,"IL VILLAGGIO AT SAN LUIS OBISPO","II VILLAGGIO AT SAN LUIS OBISPO LLC LIFE CARE SERV","TBD","LOS OSOS VALLEY ROAD, SAN LUIS OBISPO","SAN LUIS OBISPO","CA",93401,"SAN LUIS OBISPO",29,400,"PENDING",NA,-120.6984543,35.2634602
"44","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",360902944,"INLAND CHRISTIAN HOME, INC","INLAND CHRISTIAN HOME, INC","MARY WOLFF","1950 SOUTH MOUNTAIN AVENUE, SAN BERNARDINO","ONTARIO","CA",91762,"SAN BERNARDINO",18,297,"LICENSED","2/20/1994",-117.6705503,34.0376957
"45","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374600637,"LA COSTA GLEN CARLSBAD","LA COSTA GLEN CARLSBAD CCRC LLC/LIFE CARE SVCS LLC","KASIN, KEITH","1950 SILVERLEAF CIRCLE, SAN DIEGO","CARLSBAD","CA",92009,"SAN DIEGO",8,1233,"LICENSED","2/11/2003",-117.2667144,33.0750541
"46","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",11400369,"LAKE PARK","CALIFORNIA - NEVADA METHODIST HOMES","MINDY HAN","1850 ALICE, ALAMEDA","OAKLAND","CA",94612,"ALAMEDA",15,275,"LICENSED","6/28/1993",-122.2638379,37.805096
"47","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",435200941,"LINCOLN GLEN ASSISTED LIVING CENTER","LINCOLN GLEN MANOR FOR SENIOR CITIZENS, INC.","DIANE ELDRIDGE","2671 PLUMMER AVENUE, SANTA CLARA","SAN JOSE","CA",95125,"SANTA CLARA",26,93,"LICENSED","10/13/2001",-121.894899,37.2763556
"48","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",11440129,"MASONIC HOME FOR ADULTS","MASONIC HOMES OF CALIFORNIA","JOSEPH PRITCHARD","34400 MISSION BLVD., ALAMEDA","UNION CITY","CA",94587,"ALAMEDA",15,242,"LICENSED","2/3/1993",-122.0042679,37.5990767
"49","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191592287,"MASONIC HOMES FOR ADULTS","MASONIC HOMES OF CALIFORNIA","JUDY FIGUEROA","1650 EAST OLD BADILLO ST, LOS ANGELES","COVINA","CA",91724,"LOS ANGELES",28,112,"LICENSED","5/1/1989",-117.856698,34.084987
"50","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374603081,"MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY","MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY","MARK MEMMELAAR","100 HOLLAND GLEN, SAN DIEGO","ESCONDIDO","CA",92026,"SAN DIEGO",8,200,"LICENSED","11/18/2010",-117.0934743,33.1574994
"51","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",286801070,"MEADOWS OF NAPA VALLEY, THE","ODD FELLOWS HOME OF CALIFORNIA; PRS MGMT INC","PANCHESSON, WAYNE","1800 ATRIUM PARKWAY, NAPA","NAPA","CA",94559,"NAPA",21,350,"LICENSED","7/31/2002",-122.2947174,38.2752917
"52","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",15600255,"MERCY RETIREMENT & CARE CENTER","MERCY RET & CARE CTR AND ELDER CARE ALLIANCE","TAMRA SCHMUTZLER","3431 FOOTHILL BOULEVARD, ALAMEDA","OAKLAND","CA",94601,"ALAMEDA",15,160,"LICENSED","3/11/1999",-122.2204941,37.7820436
"53","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",435294340,"MOLDAW FAMILY RESIDENCES AT 899 CHARLESTON","899 CHARLESTON/JEWISH SENIOR LIVING GROUP","ALEXANDER BEN ISRAEL","899 EAST CHARLESTON ROAD, SANTA CLARA","PALO ALTO","CA",94303,"SANTA CLARA",26,270,"LICENSED","10/22/2009",-122.1030933,37.4222363
"54","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191222411,"MONTE VISTA GROVE HOMES","MONTE VISTA GROVE HOMES","DEBORAH A HERBERT","2889 SAN PASQUAL STREET, LOS ANGELES","PASADENA","CA",91107,"LOS ANGELES",28,26,"LICENSED","12/2/1992",-118.091373,34.138591
"55","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",197608908,"MONTECEDRO","MONTECEDRO, INC.","DAVID WEIDERT","2212 EL MOLINO, LOS ANGELES","ALTADENA","CA",91001,"LOS ANGELES",31,300,"LICENSED","12/16/2015",-118.1340635,34.1833918
"56","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",300613273,"MORNINGSIDE OF FULLERTON","CORECARE III/MORNINGSIDE S.P.ASSOC/LIFECARESVS,LLC","RICHARD ALLEN NORDSIEK","800 MORNINGSIDE DR., ORANGE","FULLERTON","CA",92835,"ORANGE",22,712,"LICENSED","11/9/1993",-78.124152,38.2004699
"57","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191500496,"MOUNT SAN ANTONIO GARDENS","CONGREGATIONAL HOMES, INCORPORATED","JOYCE FREMPONG","900 EAST HARRISON AVENUE, LOS ANGELES","POMONA","CA",91767,"LOS ANGELES",28,520,"LICENSED","1/4/1993",-117.733856,34.09746
"58","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",390314809,"O'CONNOR WOODS ASSISTED LIVING","O'CONNOR WOODS HOUSING; ESKATON PROPERTIES INC","LEAL-MALLETE, PENNY","3334 WAGNER HEIGHTS RD, SAN JOAQUIN","STOCKTON","CA",95209,"SAN JOAQUIN",27,499,"LICENSED","8/14/1991",-121.3572042,38.0314253
"59","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",197607372,"OAKVIEW","OAKVIEW HC LLC & LIFE CARE SERVICES LLC","JEANNETTE RUGGIERO","3557 CAMPUS DR., LOS ANGELES","THOUSAND OAKS","CA",91360,"LOS ANGELES",31,63,"LICENSED","3/28/2008",-118.8815691,34.2284491
"60","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",100404809,"PALM VILLAGE RETIREMENT COMMUNITY","MENNONITE BRETHREN HOMES, INC.","GUZMAN, ERNESTO","703 WEST HERBERT AVENUE, FRESNO","REEDLEY","CA",93654,"FRESNO",24,262,"LICENSED","2/13/1987",-119.4556047,36.5804956
"61","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",486800368,"PARADISE VALLEY ESTATES","NORTHERN CALIFORNIA RETIRED OFFICERS COMMUNITY","PEGGY HUSTON","2600 ESTATES DRIVE, SOLANO","FAIRFIELD","CA",94533,"SOLANO",21,603,"LICENSED","12/3/1997",-122.029138,38.307024
"62","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374601395,"PARADISE VALLEY MANOR","STERLING CARE, INC.","AARON BURRUP","2575 E. EIGHTH STREET, SAN DIEGO","NATIONAL CITY","CA",91950,"SAN DIEGO",8,50,"LICENSED","5/27/2003",-117.0805598,32.6841189
"63","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",410508359,"PENINSULA REGENT (THE)","BASS INC; PACIFIC RETIREMENT SERVICES INC","MARIANNE NANNESTAD","1 BALDWIN AVENUE, SAN MATEO","SAN MATEO","CA",94401,"SAN MATEO",14,435,"LICENSED","12/15/1988",-122.3281563,37.5662399
"64","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",11400514,"PIEDMONT GARDENS #1","HUMANGOOD & HUMANGOOD NORCAL","SMITH, KEVIN","110-41ST STREET, ALAMEDA","OAKLAND","CA",94611,"ALAMEDA",15,321,"LICENSED","3/25/1993",-122.2511645,37.8263266
"65","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",197607628,"PILGRIM PLACE IN CLAREMONT","PILGRIM PLACE IN CLAREMONT, INC.","RICHARD RODAS","625 MAYFLOWER ROAD, LOS ANGELES","CLAREMONT","CA",91711,"LOS ANGELES",28,454,"LICENSED","1/16/2009",-117.7234013,34.1002338
"66","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",360904812,"PLYMOUTH VILLAGE OF REDLANDS","HUMANGOOD & HUMANGOOD NORCAL","MICHAELS, JULIE","900 SALEM DRIVE, SAN BERNARDINO","REDLANDS","CA",92373,"SAN BERNARDINO",18,301,"LICENSED","2/24/1981",-117.1723599,34.0431678
"67","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374600566,"REDWOOD TERRACE","HUMANGOOD; HUMANGOOD SOCAL","NORDEN, KURT C","710 WEST 13TH AVENUE, SAN DIEGO","ESCONDIDO","CA",92025,"SAN DIEGO",8,210,"LICENSED","8/26/1997",-117.1531029,32.712896
"68","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",300603257,"REGENTS POINT","HUMANGOOD & HUMANGOOD SOCAL","FORNEY, MELINDA M","19191 HARVARD AVENUE, ORANGE","IRVINE","CA",92612,"ORANGE",22,399,"LICENSED","2/23/1982",-117.8321967,33.6522778
"69","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",75600335,"REUTLINGER COMMUNITY, THE","REUTLINGER COMMUNITY, THE","KAUR, RAMMANDEEP","4000 CAMINO TASSAJARA, CONTRA COSTA","DANVILLE","CA",94526,"CONTRA COSTA",15,120,"LICENSED","8/19/1999",-121.9061522,37.7985621
"70","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",150400536,"ROSEWOOD RETIREMENT COMMUNITY","HUMANGOOD & HUMANGOOD NORCAL","BALABAN, ROCHELLE","1301 NEW STINE ROAD, KERN","BAKERSFIELD","CA",93309,"KERN",24,220,"LICENSED","3/15/1974",-119.0621298,35.3419404
"71","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",300600816,"ROWNTREE GARDENS","CALIFORNIA FRIENDS HOMES, INC.","CLAUDIA LUSCA-BORCSA","12151 DALE STREET, ORANGE","STANTON","CA",90680,"ORANGE",22,280,"LICENSED","7/11/1982",-117.9843089,33.7859412
"72","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191502216,"ROYAL OAKS","HUMANGOOD & HUMANGOOD SOCAL","SALIERNO, ROBERT","1763 ROYAL OAKS DRIVE, LOS ANGELES","DUARTE","CA",91010,"LOS ANGELES",28,250,"LICENSED","12/29/1989",-117.9679299,34.1447939
"73","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",380540292,"SAN FRANCISCO TOWERS","COVIA COMMUNITIES","CHRISTINA SPENCE","1661 PINE STREET, SAN FRANCISCO","SAN FRANCISCO","CA",94109,"SAN FRANCISCO",14,350,"LICENSED","10/31/1997",-122.4230142,37.7891236
"74","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",435201057,"SARATOGA RETIREMENT COMMUNITY","ODD FELLOWS HOME OF CA; GRAND LODGE; PRS MGMT INC","CATHY SCHUMACHER","14500 FRUITVALE AVENUE, SANTA CLARA","SARATOGA","CA",95070,"SANTA CLARA",26,418,"LICENSED","7/31/2002",-122.0077323,37.2563233
"75","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",336424396,"SEGOVIA OF PALM DESERT","SEGOVIA OPERATIONS, OAKMONT SR LVG; OAKMONT MGT GR","SCHAFFER II, ERNEST C","39905 VIA SCENA, RIVERSIDE","PALM DESERT","CA",92260,"RIVERSIDE",18,182,"LICENSED","4/29/2010",-116.3896562,33.7589084
"76","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",306000889,"SENIOR LIVING COMMUNITY FOR THE EASTERN STAR IN CA","EASTERN STAR HOMES OF CALIFORNIA INC.","JO DEE GIBSON","16850 E. BASTANCHURY ROAD, ORANGE","YORBA LINDA","CA",92886,"ORANGE",22,76,"LICENSED","12/9/1998",-117.8392936,33.8986777
"77","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",410500567,"SEQUOIAS-PORTOLA VALLEY, THE","SEQUOIA LIVING, INC.","MICHAEL CATALDO","501 PORTOLA ROAD, SAN MATEO","PORTOLA VALLEY","CA",94028,"SAN MATEO",14,328,"LICENSED","11/5/1985",-122.221039,37.3725967
"78","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",380500593,"SEQUOIAS SAN FRANCISCO (THE)","SEQUOIA LIVING, INC.","GLEN GODDARD","1400 GEARY BLVD, SAN FRANCISCO","SAN FRANCISCO","CA",94109,"SAN FRANCISCO",14,400,"LICENSED","5/21/1975",-122.4264471,37.7855853
"79","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",100406684,"SIERRA VIEW HOMES RESIDENTIAL CARE","SIERRA VIEW HOMES, INC.","GENNA, VITO J.","1155 E. SPRINGFIELD, FRESNO","REEDLEY","CA",93654,"FRESNO",24,78,"LICENSED","3/18/1991",-119.436931,36.596316
"80","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191802082,"SOLHEIM SENIOR COMMUNITY","SOLHEIM LUTHERAN HOME","PALOMA BARROSO","2236 MERTON AVENUE, LOS ANGELES","LOS ANGELES","CA",90041,"LOS ANGELES",31,126,"LICENSED","6/22/1993",-118.2154725,34.1376331
