Facility_Type,Facility_Number,Facility_Name,Licensee,Facility_Administrator,Facility_Telephone Number,Facility_Address,Facility_City,Facility_State,Facility_Zip,County_Name,Regional_Office,Facility_Capacity,Facility_Status,License_First_Date,Closed_Date
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603618,BROOKDALE CARLSBAD,S-H OPCO CARLSBAD; BKD TWENTY-ONE MANAGMENT,"HIGHTOWER, SASHA",(760) 720-9898,3140 EL CAMINO REAL,CARLSBAD,CA,92008,SAN DIEGO,8,125,LICENSED,8/29/2014,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603617,BROOKDALE CARMEL VALLEY,S-H OPCO CARMEL VALLEY; BKD TWENTY-ONE MANAGMENT,"MCDONALD, JASON",(858) 259-2222,13101 HARTFIELD AVE,SAN DIEGO,CA,92130,SAN DIEGO,8,125,LICENSED,8/29/2014,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803519,BROOKDALE FOUNTAINGROVE,EMERITUS CORPORATION,"TOOMER, JEFFREY J.",(707) 566-8600,300 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,21,158,CLOSED,7/31/2014,6/1/2019
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608720,BROOKDALE NORTHRIDGE,EMERITUS CORPORATION,"PACHOREK, CYNDIE",(818) 886-1616,17650 W DEVONSHIRE ST,NORTHRIDGE,CA,91325,LOS ANGELES,31,135,LICENSED,7/31/2014,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426512,BROOKDALE RANCHO MIRAGE,S-H OPCO RANCHO MIRAGE; BKD TWENTY-ONE MANAGEMENT,"BARTON, ROBERT",(760) 340-5999,72201 COUNTRY CLUB DR,RANCHO MIRAGE,CA,92270,RIVERSIDE,18,135,LICENSED,8/29/2014,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,157203395,BROOKDALE RIVERWALK,BLC GLENWOOD-GARDENS AL-LH; BROOKDALE LIVING COMMS,"WEBSTER, REG",(661) 587-0221,350 CALLOWAY DR,BAKERSFIELD,CA,93312,KERN,24,376,LICENSED,6/26/2006,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198601907,BROOKDALE SAN DIMAS,EMERITUS CORPORATION,"KNEEDY-CAYEM, KARA",(909) 394-0304,1740 SAN DIMAS AVE,SAN DIMAS,CA,91773,LOS ANGELES,28,131,CLOSED,7/31/2014,5/15/2019
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198602870,BROOKDALE SAN DIMAS,BRE KNIGHT SH CA OWNER LLC; EMERITUS CORPORATION,"KNEEDY-CAYEM, KARA",(909) 394-0304,1740 SAN DIMAS AVENUE,SAN DIMAS,CA,91773,LOS ANGELES,28,131,LICENSED,5/15/2019,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004721,BROOKDALE SAN JUAN CAPISTRANO,S-H OPCO SAN JUAN CAPISTRANO; BKD TWENTY-ONE MGT,ROBERT DAYNES,(949) 248-8855,31741 RANCHO VIEJO RD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,22,125,LICENSED,8/29/2014,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004693,BROOKDALE YORBA LINDA,EMERITUS CORPORATION,CARREY BEERS,(714) 777-9666,17803 IMPERIAL HWY,YORBA LINDA,CA,92886,ORANGE,22,135,CLOSED,7/31/2014,6/18/2019
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005410,BROOKDALE YORBA LINDA,BRE KNIGHT SH CA OWNER LLC; EMERITUS CORPORATION,JEFFREY TOOMER,(714) 777-9666,17803 IMPERIAL HIGHWAY,YORBA LINDA,CA,92886,ORANGE,22,135,LICENSED,6/18/2019,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100400070,CALIFORNIA ARMENIAN HOME,CALIFORNIA HOME FOR THE AGED INC,PAUL ROCHA,(559) 251-8414,6720 E KINGS CANYON RD,FRESNO,CA,93727,FRESNO,24,332,LICENSED,3/20/1985,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270708224,CANTERBURY WOODS,COVIA COMMUNITIES,ELVYRA ABARE,(831) 373-3111,651 SINEX AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,26,190,LICENSED,9/15/1989,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191603774,"CANTERBURY, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,SHARON PEWTRESS,(310) 541-2410,5801 WEST CRESTRIDGE ROAD,RANCHO PALOS VERDES,CA,90274,LOS ANGELES,11,187,LICENSED,3/31/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004555,CAPRIANA,CAPRIANA OPERATIONS; OAKMONT SR LVG; OAKMONT MGT G,"REYNOLDS, TALYAH",(714) 589-2866,460 LA FLORESTA DR,BREA,CA,92821,ORANGE,22,200,LICENSED,5/14/2013,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601222,CARDINAL POINT AT MARINER SQUARE,"CARDINAL PT MARINER, OAKMONT SR LVG; OAKMONT MGT G",GERALD VADNAIS,(510) 337-1033,2431 MARINER SQUARE DR,ALAMEDA,CA,94501,ALAMEDA,15,153,LICENSED,2/28/2006,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600799,CARLSBAD BY THE SEA,FRONT PORCH COMMUNITIES AND SERVICES,JOAN E. JOHNSON,(760) 729-2377,2855 CARLSBAD BLVD.,CARLSBAD,CA,92008,SAN DIEGO,8,224,LICENSED,8/4/1999,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700110,CARMEL VALLEY MANOR,NORTHERN CALIFORNIA CONGREGATIONAL RETIREMENT HOME,JANE S. IPSEN,(831) 624-1281,8545 CARMEL VALLEY ROAD,CARMEL,CA,93923,MONTEREY,26,258,LICENSED,11/12/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405800142,CASA DE FLORES,"COMPASS HEALTH, INC., DBA",DEAN GOSSELIN,(805) 772-7372,1405 TERESA DRIVE,MORRO BAY,CA,93442,SAN LUIS OBISPO,29,120,LICENSED,2/24/1997,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600488,CASA DE LAS CAMPANAS,"CASA DE LAS CAMPANAS/LIFE CARE SERVICE, LLC",KIMBERLY FINCH-DOMINY,(858) 451-9152,18655 WEST BERNARDO DRIVE,SAN DIEGO,CA,92127,SAN DIEGO,8,582,LICENSED,1/1/1997,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700160,CASA DORINDA,MONTECITO RETIREMENT ASSOCIATION,BRIAN MCCAGUE,(805) 969-8011,300 HOT SPRINGS RD.,SANTA BARBARA,CA,93108,SANTA BARBARA,29,325,LICENSED,10/31/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700136,CHANNING HOUSE,CHANNING HOUSE,"MATSUMOTO, MELVIN",(650) 327-0950,850 WEBSTER STREET,PALO ALTO,CA,94301,SANTA CLARA,26,264,LICENSED,3/20/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421702848,COVENANT LIVING AT THE SAMARKAND,COVENANT LIVING WEST,LAURIE SMALL,(805) 687-0701,2550 TREASURE DRIVE,SANTA BARBARA,CA,93105,SANTA BARBARA,29,379,LICENSED,4/6/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,500301453,COVENANT LIVING OF TURLOCK,COVENANT LIVING WEST,CHARLES W. JOHNSON,(209) 632-9976,2125 N OLIVE,TURLOCK,CA,95382,STANISLAUS,27,377,LICENSED,6/19/1989,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,370800394,COVENANT VILLAGE AT MOUNT MIGUEL,COVENANT LIVING WEST,RICHARD MILLER,(619) 479-4790,325 KEMPTON STREET,SPRING VALLEY,CA,91977,SAN DIEGO,8,434,LICENSED,4/9/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306002255,"COVINGTON, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,EILEEN LEA DAVIS,(949) 389-8500,3 PURSUIT,ALISO VIEJO,CA,92656,ORANGE,22,343,LICENSED,5/20/2004,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803820,ENSO VILLAGE,"KENDAL AT SONOMA, A ZEN INSPIRED COMMUNITY","HELMAN, DOUGLAS",(610) 335-1247,16977 HEALDSBURG AVE,HEALDSBURG,CA,95448,SONOMA,21,54,PENDING,,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,340313383,ESKATON VILLAGE,ESKATON; ESKATON PROPERTIES INC,"KLICK, GREG",(916) 974-2000,3939 WALNUT AVE,CARMICHAEL,CA,95608,SACRAMENTO,27,500,LICENSED,3/23/1992,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700245,FOREST HILL,CALIFORNIA-NEVADA METHODIST HOMES,ROSETTA W. CHAN,(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,26,150,LICENSED,1/29/1974,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,275202748,FOREST HILL,FOREST HILL OPCO LLC; LIFE CARE SERVICES LLC,"CHAN, ROSETTA",(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,26,150,PENDING,,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200344,"FORUM AT RANCHO SAN ANTONIO, THE","RSARHC, RSARS INC. & LIFE CARE SERVICES LLC",NANCY KAO,(650) 944-0112,23500 CRISTO REY DRIVE,CUPERTINO,CA,95014,SANTA CLARA,26,741,LICENSED,9/24/1996,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803440,FOUNTAINGROVE LODGE,"FOUNTAINGROVE LODGE, OSL LLC; OAKMONT MGT GROUP","FISHER, LINDA",(707) 576-1101,4210 THOMAS LAKE HARRIS DR,SANTA ROSA,CA,95403,SONOMA,21,173,LICENSED,11/22/2013,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336410693,"FOUNTAINS AT THE CARLOTTA, THE",FOUNTAINS GEN.PTNR/SR.LVNG HLDGS LLC/WATERMARK RET,VICTORIA DOMINGO,(760) 346-5420,41-505 CARLOTTA DRIVE,PALM DESERT,CA,92211,RIVERSIDE,18,250,CLOSED,12/8/2006,6/1/2015
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426769,"FOUNTAINS AT THE CARLOTTA, THE",WATERMARK CARLOTTA LLC/WATERMARK RETIRE. COMM. INC,RONALD F. ELLENICH,(760) 346-5420,41505 CARLOTTA DR.,PALM DESERT,CA,92211,RIVERSIDE,18,250,LICENSED,6/1/2015,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607880,FOUNTAINVIEW AT EISENBERG VILLAGE,"FOUNTAINVIEW AT EISENBERG VLG,LLC.& EVLAJHA,INC.","HERNANDEZ,AMBER",(818) 774-3000,6440 WILBUR AVENUE,RESEDA,CA,91335,LOS ANGELES,31,216,LICENSED,2/23/2010,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300606831,FREEDOM VILLAGE,"MURPHY,N.,SHEAM,G.,KUBICKA,C.,KUBICKA,L.,FPW,LLC",MARIANNE CASINO/ J.NIBLETT,(949) 472-4733,23442 EL TORO ROAD,LAKE FOREST,CA,92630,ORANGE,22,533,LICENSED,7/23/1987,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496801929,FRIENDS HOUSE,FRIENDS ASSOC OF SVCS FOR THE ELDERLY; COVIA GROUP,"ALLEN, CLARA",(707) 538-0152,684 BENICIA DRIVE,SANTA ROSA,CA,95409,SONOMA,21,120,LICENSED,12/27/2006,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603600,"GLEN AT SCRIPPS RANCH, THE",GLEN AT SCRIPPS RANCH CCRC LLC; LIFE CARE SERVICES,"KLINE, MEEGAN",(858) 444-8500,9800 GLEN CENTER DRIVE,SAN DIEGO,CA,92131,SAN DIEGO,8,403,LICENSED,12/23/2019,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400246,GRAND LAKE GARDENS,HUMANGOOD & HUMANGOOD NORCAL,"BRANDMEIER, PHILIP",(510) 893-8897,401 SANTA CLARA AVENUE,OAKLAND,CA,94610,ALAMEDA,15,135,LICENSED,1/25/1985,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500295,HERITAGE ON THE MARINA,SAN FRANCISCO LADIES' PROTECTION & RELIEF SOCIETY,KEN D. DONNELLY,(415) 202-0300,3400 LAGUNA ST.,SAN FRANCISCO,CA,94123,SAN FRANCISCO,14,104,LICENSED,6/25/1975,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191800001,HOLLENBECK PALMS,HOLLENBECK PALMS,"HEIDEMAN, WILLIAM G.",(323) 263-6195,573 S. BOYLE AVE,LOS ANGELES,CA,90033,LOS ANGELES,28,171,LICENSED,4/16/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405802282,IL VILLAGGIO AT SAN LUIS OBISPO,II VILLAGGIO AT SAN LUIS OBISPO LLC LIFE CARE SERV,TBD,(805) 996-0580,LOS OSOS VALLEY ROAD,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,29,400,PENDING,,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360902944,"INLAND CHRISTIAN HOME, INC","INLAND CHRISTIAN HOME, INC",MARY WOLFF,(909) 983-0084,1950 SOUTH MOUNTAIN AVENUE,ONTARIO,CA,91762,SAN BERNARDINO,18,297,LICENSED,2/20/1994,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600637,LA COSTA GLEN CARLSBAD,LA COSTA GLEN CARLSBAD CCRC LLC/LIFE CARE SVCS LLC,"KASIN, KEITH",(760) 704-1000,1950 SILVERLEAF CIRCLE,CARLSBAD,CA,92009,SAN DIEGO,8,1233,LICENSED,2/11/2003,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400369,LAKE PARK,CALIFORNIA - NEVADA METHODIST HOMES,MINDY HAN,(510) 835-5511,1850 ALICE,OAKLAND,CA,94612,ALAMEDA,15,275,LICENSED,6/28/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,19200943,LAKE PARK,LAKE PARK OPCO LLC; LIFE CARE SERVICES LLC,"HAN, MINDY",(510) 835-5511,1850 ALICE STREET,OAKLAND,CA,94612,ALAMEDA,15,275,PENDING,,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200941,LINCOLN GLEN ASSISTED LIVING CENTER,"LINCOLN GLEN MANOR FOR SENIOR CITIZENS, INC.",DIANE ELDRIDGE,(408) 267-4872,2671 PLUMMER AVENUE,SAN JOSE,CA,95125,SANTA CLARA,26,93,LICENSED,10/13/2001,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700382,LOS GATOS MEADOWS,COVIA COMMUNITIES,"ICHIEN, CHRISTOPHER",(408) 354-0211,110 WOOD ROAD,LOS GATOS,CA,95030,SANTA CLARA,26,229,CLOSED,6/10/1993,9/30/2019
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501682,MARGUERITE GARDENS,CALIFORNIA P.E.O HOME CORPORATION,KRISTIS FERRIS,(626) 300-0400,700 NORTH STONEMAN AVENUE,ALHAMBRA,CA,91801,LOS ANGELES,28,113,CLOSED,2/14/1983,6/18/2015
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11440129,MASONIC HOME FOR ADULTS,MASONIC HOMES OF CALIFORNIA,JOSEPH PRITCHARD,(510) 471-3434,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,242,LICENSED,2/3/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191592287,MASONIC HOMES FOR ADULTS,MASONIC HOMES OF CALIFORNIA,JUDY FIGUEROA,(626) 251-2200,1650 EAST OLD BADILLO ST,COVINA,CA,91724,LOS ANGELES,28,112,LICENSED,5/1/1989,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603081,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MARK MEMMELAAR,(760) 746-2500,100 HOLLAND GLEN,ESCONDIDO,CA,92026,SAN DIEGO,8,200,LICENSED,11/18/2010,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,286801070,"MEADOWS OF NAPA VALLEY, THE",ODD FELLOWS HOME OF CALIFORNIA; PRS MGMT INC,"PANCHESSON, WAYNE",(707) 257-7885,1800 ATRIUM PARKWAY,NAPA,CA,94559,NAPA,21,350,LICENSED,7/31/2002,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15600255,MERCY RETIREMENT & CARE CENTER,MERCY RET & CARE CTR AND ELDER CARE ALLIANCE,TAMRA SCHMUTZLER,(510) 534-8540,3431 FOOTHILL BOULEVARD,OAKLAND,CA,94601,ALAMEDA,15,160,LICENSED,3/11/1999,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435294340,MOLDAW FAMILY RESIDENCES AT 899 CHARLESTON,899 CHARLESTON/JEWISH SENIOR LIVING GROUP,ALEXANDER BEN ISRAEL,(650) 433-3600,899 EAST CHARLESTON ROAD,PALO ALTO,CA,94303,SANTA CLARA,26,270,LICENSED,10/22/2009,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222411,MONTE VISTA GROVE HOMES,MONTE VISTA GROVE HOMES,DEBORAH A HERBERT,(626) 796-6135,2889 SAN PASQUAL STREET,PASADENA,CA,91107,LOS ANGELES,28,26,LICENSED,12/2/1992,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608908,MONTECEDRO,"MONTECEDRO, INC.",DAVID WEIDERT,(626) 396-7125,2212 EL MOLINO,ALTADENA,CA,91001,LOS ANGELES,31,300,LICENSED,12/16/2015,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300613273,MORNINGSIDE OF FULLERTON,"CORECARE III/MORNINGSIDE S.P.ASSOC/LIFECARESVS,LLC",RICHARD ALLEN NORDSIEK,(714) 256-8000,800 MORNINGSIDE DR.,FULLERTON,CA,92835,ORANGE,22,712,LICENSED,11/9/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500496,MOUNT SAN ANTONIO GARDENS,"CONGREGATIONAL HOMES, INCORPORATED",JOYCE FREMPONG,(909) 624-5061,900 EAST HARRISON AVENUE,POMONA,CA,91767,LOS ANGELES,28,520,LICENSED,1/4/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,390314809,O'CONNOR WOODS ASSISTED LIVING,O'CONNOR WOODS HOUSING; ESKATON PROPERTIES INC,"LEAL-MALLETE, PENNY",(209) 956-3400,3334 WAGNER HEIGHTS RD,STOCKTON,CA,95209,SAN JOAQUIN,27,499,LICENSED,8/14/1991,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607372,OAKVIEW,OAKVIEW HC LLC & LIFE CARE SERVICES LLC,JEANNETTE RUGGIERO,(805) 241-3005,3557 CAMPUS DR.,THOUSAND OAKS,CA,91360,LOS ANGELES,31,63,LICENSED,3/28/2008,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100404809,PALM VILLAGE RETIREMENT COMMUNITY,"MENNONITE BRETHREN HOMES, INC.","GUZMAN, ERNESTO",(559) 638-6933,703 WEST HERBERT AVENUE,REEDLEY,CA,93654,FRESNO,24,262,LICENSED,2/13/1987,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,486800368,PARADISE VALLEY ESTATES,NORTHERN CALIFORNIA RETIRED OFFICERS COMMUNITY,PEGGY HUSTON,(707) 432-1100,2600 ESTATES DRIVE,FAIRFIELD,CA,94533,SOLANO,21,603,LICENSED,12/3/1997,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374601395,PARADISE VALLEY MANOR,"STERLING CARE, INC.",AARON BURRUP,(619) 470-6700,2575 E. EIGHTH STREET,NATIONAL CITY,CA,91950,SAN DIEGO,8,50,LICENSED,5/27/2003,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,410508359,PENINSULA REGENT (THE),BASS INC; PACIFIC RETIREMENT SERVICES INC,MARIANNE NANNESTAD,(650) 579-5500,1 BALDWIN AVENUE,SAN MATEO,CA,94401,SAN MATEO,14,435,LICENSED,12/15/1988,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400514,PIEDMONT GARDENS #1,HUMANGOOD & HUMANGOOD NORCAL,"SMITH, KEVIN",(510) 654-7172,110-41ST STREET,OAKLAND,CA,94611,ALAMEDA,15,321,LICENSED,3/25/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607628,PILGRIM PLACE IN CLAREMONT,"PILGRIM PLACE IN CLAREMONT, INC.",RICHARD RODAS,(909) 399-5500,625 MAYFLOWER ROAD,CLAREMONT,CA,91711,LOS ANGELES,28,454,LICENSED,1/16/2009,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360904812,PLYMOUTH VILLAGE OF REDLANDS,HUMANGOOD & HUMANGOOD NORCAL,"MICHAELS, JULIE",(909) 793-1233,900 SALEM DRIVE,REDLANDS,CA,92373,SAN BERNARDINO,18,301,LICENSED,2/24/1981,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005180,REATA GLEN ORANGE COUNTY CCRC LLC,REATA GLEN ORANGE COUNTY CCRC LLC,TBD,(760) 704-6260,28805 ORTEGA HIGHWAY,SAN JUAN CAPISTRANO,CA,92675,ORANGE,22,480,CLOSED,,9/25/2018
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005546,REATA GLEN ORANGE COUNTY CCRC LLC,REATA GLEN ORANGE COUNTY CCRC; LIFE CARE SERVICES,"NASRATY, SUZANNE",(949) 545-2250,2 LAS ESTRELLAS LOOP,RANCHO MISSION VIEJO,CA,92694,ORANGE,22,840,LICENSED,6/19/2019,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600566,REDWOOD TERRACE,HUMANGOOD; HUMANGOOD SOCAL,"NORDEN, KURT C",(760) 747-4306,710 WEST 13TH AVENUE,ESCONDIDO,CA,92025,SAN DIEGO,8,210,LICENSED,8/26/1997,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300603257,REGENTS POINT,HUMANGOOD & HUMANGOOD SOCAL,"FORNEY, MELINDA M",(949) 854-9500,19191 HARVARD AVENUE,IRVINE,CA,92612,ORANGE,22,399,LICENSED,2/23/1982,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,75600335,"REUTLINGER COMMUNITY, THE","REUTLINGER COMMUNITY, THE","KAUR, RAMMANDEEP",(925) 648-2800,4000 CAMINO TASSAJARA,DANVILLE,CA,94526,CONTRA COSTA,15,120,LICENSED,8/19/1999,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,150400536,ROSEWOOD RETIREMENT COMMUNITY,HUMANGOOD & HUMANGOOD NORCAL,"BALABAN, ROCHELLE",(661) 834-0620,1301 NEW STINE ROAD,BAKERSFIELD,CA,93309,KERN,24,220,LICENSED,3/15/1974,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300600816,ROWNTREE GARDENS,"CALIFORNIA FRIENDS HOMES, INC.",CLAUDIA LUSCA-BORCSA,(714) 530-9100,12151 DALE STREET,STANTON,CA,90680,ORANGE,22,280,LICENSED,7/11/1982,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191502216,ROYAL OAKS,HUMANGOOD & HUMANGOOD SOCAL,"SALIERNO, ROBERT",(626) 359-9371,1763 ROYAL OAKS DRIVE,DUARTE,CA,91010,LOS ANGELES,28,250,LICENSED,12/29/1989,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380540292,SAN FRANCISCO TOWERS,COVIA COMMUNITIES,CHRISTINA SPENCE,(415) 776-0500,1661 PINE STREET,SAN FRANCISCO,CA,94109,SAN FRANCISCO,14,350,LICENSED,10/31/1997,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435201057,SARATOGA RETIREMENT COMMUNITY,ODD FELLOWS HOME OF CA; GRAND LODGE; PRS MGMT INC,CATHY SCHUMACHER,(408) 741-7100,14500 FRUITVALE AVENUE,SARATOGA,CA,95070,SANTA CLARA,26,418,LICENSED,7/31/2002,
